school_name,division,city_state,type,conference,athletics_domain,status
Aquinas College – Michigan,NAIA,"Grand Rapids,Michigan",Private,Wolverine-Hoosier Athletic Conference,aqsaints.com,FOUND
Arizona Christian University,NAIA,"Glendale,Arizona",Private,Great Southwest Athletic Conference,acufirestorm.com,FOUND
Ave Maria University,NAIA,"Ave Maria,Florida",Private,Sun Conference,avemariagyrenes.com,FOUND
Avila University,NAIA,"Kansas City,Missouri",Private,Kansas Collegiate Athletic Conference,avila.edu,FOUND
Baker University,NAIA,"Baldwin City,Kansas",Private,Heart of America Athletic Conference,bakerwildcats.com,FOUND
Bellevue University,NAIA,"Bellevue,Nebraska",Private,North Star Athletic Association,bellevue.edu,FOUND
Benedictine College,NAIA,"Atchison,Kansas",Private,Heart of America Athletic Conference,ravenathletics.com,FOUND
Benedictine University – Mesa,NAIA,"Mesa,Arizona",Private,California Pacific Conference,benueagles.com,FOUND
Bethany College – Kansas,NAIA,"Lindsborg,Kansas",Private,Kansas Collegiate Athletic Conference,bethanybison.com,FOUND
Bethel College – Kansas,NAIA,"North Newton,Kansas",Private,Kansas Collegiate Athletic Conference,,NOT_FOUND
Bethel University – Indiana,NAIA,"Mishawaka,Indiana",Private,Crossroads League,,NOT_FOUND
Bethel University – Tennessee,NAIA,"Mckenzie,Tennessee",Private,Mid-South Conference,,NOT_FOUND
Blue Mountain College,NAIA,"Blue Mountain,Mississippi",Private,Southern States Athletic Conference,bmcusports.com,FOUND
Bluefield University,NAIA,"Bluefield,Virginia",Private,Appalachian Athletic Conference,burams.com,FOUND
Brenau University,NAIA,"Gainesville,Georgia",Private,Appalachian Athletic Conference,brenau.edu,FOUND
Brescia University,NAIA,"Owensboro,Kentucky",Private,River States Conference,bresciabearcats.com,FOUND
Brewton-Parker College,NAIA,"Mount Vernon,Georgia",Private,Southern States Athletic Conference,bpcuathletics.com,FOUND
Briar Cliff University,NAIA,"Sioux City,Iowa",Private,Great Plains Athletic Conference,briarcliff.edu,FOUND
Bryan College – Tennessee,NAIA,"Dayton,Tennessee",Private,Appalachian Athletic Conference,bryanlions.com,FOUND
Bushnell University,NAIA,"Eugene,Oregon",Private,Cascade Collegiate Conference,bushnellbeacons.com,FOUND
Calumet College of St. Joseph,NAIA,"Whiting,Indiana",Private,Chicagoland Collegiate Athletic Conference,ccsjathletics.com,FOUND
Campbellsville University,NAIA,"Campbellsville,Kentucky",Private,Mid-South Conference,campbellsvilletigers.com,FOUND
Carroll College,NAIA,"Helena,Montana",Private,Frontier Conference,carrollathletics.com,FOUND
Central Baptist College,NAIA,"Conway,Arkansas",Private,American Midwest Conference,athletics.central.edu,FOUND
Central Christian College of Kansas,NAIA,"Mcpherson,Kansas",Private,Sooner Athletic Conference,ccctigers.com,FOUND
Central Methodist University,NAIA,"Fayette,Missouri",Private,Heart of America Athletic Conference,cmueagles.com,FOUND
Clarke University,NAIA,"Dubuque,Iowa",Private,Heart of America Athletic Conference,clarkepride.com,FOUND
College of Coastal Georgia,NAIA,"Brunswick,Georgia",Public,Sun Conference,coastalgeorgiasports.com,FOUND
College of Saint Mary,NAIA,"Omaha,Nebraska",Private,Great Plains Athletic Conference,smcmathletics.com,FOUND
Columbia College – Missouri,NAIA,"Columbia,Missouri",Private,American Midwest Conference,columbiacougars.com,FOUND
Columbia College – South Carolina,NAIA,"Columbia,South Carolina",Private,Appalachian Athletic Conference,columbiacougars.com,FOUND
Concordia University – Nebraska,NAIA,"Seward,Nebraska",Private,Great Plains Athletic Conference,cuigoldeneagles.com,FOUND
Corban University,NAIA,"Salem,Oregon",Private,Cascade Collegiate Conference,corbanwarriors.com,FOUND
