school_name,division,city_state,type,conference
Bevill State Community College Bears,NJCAA D1,"Sumiton, Alabama",,
Bishop State Community College Wildcats,NJCAA D1,"Mobile, Alabama",,
Calhoun Community College Warhawks,NJCAA D1,"Tanner, Alabama",,
Chattahoochee Valley Community College Pirates,NJCAA D1,"Phenix City, Alabama",,
Central Alabama Community College Trojans,NJCAA D1,"Alexander City, Alabama",,
Coastal Alabama Community College Sun Chiefs,NJCAA D1,"Bay Minette, Alabama",,
Coastal Alabama Community College Brewton Warhawks,NJCAA D1,"Brewton, Alabama",,
Coastal Alabama Community College Monroeville Eagles,NJCAA D1,"Monroeville, Alabama",,
Enterprise-Ozark Community College Boll Weevils,NJCAA D1,"Enterprise, Alabama",,
Gadsden State Community College Cardinals,NJCAA D1,"Gadsden, Alabama",,
Lawson State Community College Cougars,NJCAA D1,"Birmingham, Alabama",,
Lurleen B. Wallace Community College Saints,NJCAA D1,"Andalusia, Alabama",,
Marion Military Institute Tigers,NJCAA D1,"Marion, Alabama",,
Shelton State Community College Buccaneers,NJCAA D1,"Tuscaloosa, Alabama",,
Snead State Community College Parsons,NJCAA D1,"Boaz, Alabama",,
Southern Union State Community College Bison,NJCAA D1,"Wadley, Alabama",,
Wallace Community College Governors,NJCAA D1,"Dothan, Alabama",,
Wallace Community College Selma Patriots,NJCAA D1,"Selma, Alabama",,
Wallace State Community College Lions,NJCAA D1,"Hanceville, Alabama",,
Arizona Western College Matadors,NJCAA D1,"Yuma, Arizona",,
Central Arizona College Vaqueros/Vaqueras,NJCAA D1,"Coolidge, Arizona",,
Cochise College Apaches,NJCAA D1,"Douglas, Arizona",,
Eastern Arizona College Gila Monsters,NJCAA D1,"Thatcher, Arizona",,
Mesa Community College Thunderbird,NJCAA D1,"Mesa, Arizona",,
Pima Community College Aztecs,NJCAA D1,"Tucson, Arizona",,
Yavapai College Roughriders,NJCAA D1,"Prescott, Arizona",,
Colorado Northwestern Community College Spartan,NJCAA D1,"Rangely, Colorado",,
Lamar Community College Runnin' Lopes,NJCAA D1,"Lamar, Colorado",,
Northeastern Junior College Plainsmen,NJCAA D1,"Sterling, Colorado",,
Otero College Rattlers,NJCAA D1,"La Junta, Colorado",,
Trinidad State College Trojans,NJCAA D1,"Trinidad, Colorado",,
ASA College Silver Storm,NJCAA D1,"Miami, Florida",,
Broward College Seahawks,NJCAA D1,"Fort Lauderdale, Florida",,
