school_name,division,city_state,type,conference,athletics_domain,status,score,reason
Bevill State Community College Bears,NJCAA D1,"Sumiton, Alabama",,,athletics.bscc.edu,FOUND,250,.edu with athletics/sports; 5 school/city/mascot tokens matched
Bishop State Community College Wildcats,NJCAA D1,"Mobile, Alabama",,,coastalcoyotesnorth.com,FOUND,280,.com generic; 6 school/city/mascot tokens matched
Calhoun Community College Warhawks,NJCAA D1,"Tanner, Alabama",,,calhounathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Chattahoochee Valley Community College Pirates,NJCAA D1,"Phenix City, Alabama",,,cvpirates.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Central Alabama Community College Trojans,NJCAA D1,"Alexander City, Alabama",,,jaxstatesports.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Coastal Alabama Community College Sun Chiefs,NJCAA D1,"Bay Minette, Alabama",,,mgcccbulldogs.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Coastal Alabama Community College Brewton Warhawks,NJCAA D1,"Brewton, Alabama",,,baseball-reference.com,FOUND,280,.com generic; 6 school/city/mascot tokens matched
Coastal Alabama Community College Monroeville Eagles,NJCAA D1,"Monroeville, Alabama",,,pcceagles.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Enterprise-Ozark Community College Boll Weevils,NJCAA D1,"Enterprise, Alabama",,,usajaguars.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Gadsden State Community College Cardinals,NJCAA D1,"Gadsden, Alabama",,,gocardinals.gadsdenstate.edu,FOUND,280,.edu with athletics/sports; 6 school/city/mascot tokens matched
Lawson State Community College Cougars,NJCAA D1,"Birmingham, Alabama",,,chipolaathletics.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Lurleen B. Wallace Community College Saints,NJCAA D1,"Andalusia, Alabama",,,lbwsaints.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Marion Military Institute Tigers,NJCAA D1,"Marion, Alabama",,,mvsusports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Shelton State Community College Buccaneers,NJCAA D1,"Tuscaloosa, Alabama",,,bamastatesports.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Snead State Community College Parsons,NJCAA D1,"Boaz, Alabama",,,sneadathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Southern Union State Community College Bison,NJCAA D1,"Wadley, Alabama",,,susccathletics.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Wallace Community College Governors,NJCAA D1,"Dothan, Alabama",,,wallacegovs.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Wallace Community College Selma Patriots,NJCAA D1,"Selma, Alabama",,,wccs.edu,FOUND,280,.edu with athletics/sports; 6 school/city/mascot tokens matched
Wallace State Community College Lions,NJCAA D1,"Hanceville, Alabama",,,goshorterhawks.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Arizona Western College Matadors,NJCAA D1,"Yuma, Arizona",,,awcmatadors.com,FOUND,250,.com generic; 5 school/city/mascot tokens matched
Central Arizona College Vaqueros/Vaqueras,NJCAA D1,"Coolidge, Arizona",,,vaquerosports.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Cochise College Apaches,NJCAA D1,"Douglas, Arizona",,,arizonawildcats.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Eastern Arizona College Gila Monsters,NJCAA D1,"Thatcher, Arizona",,,eacmonsters.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Mesa Community College Thunderbird,NJCAA D1,"Mesa, Arizona",,,mesatbirdsports.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Pima Community College Aztecs,NJCAA D1,"Tucson, Arizona",,,pimaaztecs.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Yavapai College Roughriders,NJCAA D1,"Prescott, Arizona",,,goroughriders.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Colorado Northwestern Community College Spartan,NJCAA D1,"Rangely, Colorado",,,athletics.cncc.edu,FOUND,250,.edu with athletics/sports; 5 school/city/mascot tokens matched
Lamar Community College Runnin' Lopes,NJCAA D1,"Lamar, Colorado",,,golopes.com,FOUND,250,.com generic; 5 school/city/mascot tokens matched
Northeastern Junior College Plainsmen,NJCAA D1,"Sterling, Colorado",,,gonjc.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Otero College Rattlers,NJCAA D1,"La Junta, Colorado",,,gobroncbusters.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Trinidad State College Trojans,NJCAA D1,"Trinidad, Colorado",,,tsctrojans.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
ASA College Silver Storm,NJCAA D1,"Miami, Florida",,,fiusports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Chipola College Indians,NJCAA D1,"Marianna, Florida",,,southwestbearathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
College of Central Florida Patriots,NJCAA D1,"Ocala, Florida",,,fmupatriots.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Daytona State College Falcons,NJCAA D1,"Daytona Beach, Florida",,,dscfalcons.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Eastern Florida State College Titans,NJCAA D1,"Brevard County, Florida",,,efsctitans.com,FOUND,310,.com generic; 7 school/city/mascot tokens matched
Florida SouthWestern State College Buccaneers,NJCAA D1,"Fort Myers, Florida",,,fswbucs.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Florida State College at Jacksonville Blue Wave,NJCAA D1,"Jacksonville, Florida",,,flaglerathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Gulf Coast State College Commodores,NJCAA D1,"Panama City, Florida",,,gcathletics.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Hillsborough Community College Hawks,NJCAA D1,"Tampa, Florida",,,hillsboroughcc.prestosports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Indian River State College Pioneers,NJCAA D1,"Fort Pierce, Florida",,,irsc.prestosports.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
Lake Sumter State College Lakehawks,NJCAA D1,"Leesburg, Florida",,,lakehawksports.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Miami-Dade College Sharks,NJCAA D1,"Miami, Florida",,,mdcathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
North Florida Community College Sentinels,NJCAA D1,"Madison, Florida",,,mvasports.com,FOUND,290,.com with athletics/sports; 3 school/city/mascot tokens matched
Northwest Florida State College Raiders,NJCAA D1,"Niceville, Florida",,,nwfraiders.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Palm Beach State College Panthers,NJCAA D1,"Lake Worth, Florida",,,pbscpanthers.com,FOUND,310,.com generic; 7 school/city/mascot tokens matched
Pensacola State College Pirates,NJCAA D1,"Pensacola, Florida",,,athletics.pensacolastate.edu,FOUND,250,.edu with athletics/sports; 5 school/city/mascot tokens matched
Polk State College Eagles,NJCAA D1,"Winter Haven, Florida",,,polkeagles.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
Santa Fe College Saints,NJCAA D1,"Gainesville, Florida",,,santafesaints.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Seminole State College of Florida Raiders,NJCAA D1,"Sanford, Florida",,,orlandohealth.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
South Florida State College Panthers,NJCAA D1,"Avon Park, Florida",,,gomcpanthers.com,FOUND,410,.com with athletics/sports; 7 school/city/mascot tokens matched
St. Petersburg College Titans,NJCAA D1,"St. Petersburg, Florida",,,athletics.spcollege.edu,FOUND,190,.edu with athletics/sports; 3 school/city/mascot tokens matched; Accepted with low score due to strong keyword
Tallahassee Community College Eagles,NJCAA D1,"Tallahassee, Florida",,,famuathletics.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Albany Technical College Titans,NJCAA D1,"Albany, Georgia",,,issuu.com,FOUND,220,.com generic; 4 school/city/mascot tokens matched
Chattahoochee Technical College Golden Eagles,NJCAA D1,"Marietta, Georgia",,,bkstr.com,FOUND,250,.com generic; 5 school/city/mascot tokens matched
East Georgia College Bobcats,NJCAA D1,"Swainsboro, Georgia",,,ega.edu,FOUND,220,.edu with athletics/sports; 4 school/city/mascot tokens matched
Georgia Highlands College Chargers,NJCAA D1,"Rome, Georgia",,,ghcchargers.com,FOUND,320,.com with athletics/sports; 4 school/city/mascot tokens matched
Georgia Military College Bulldogs,NJCAA D1,"Milledgeville, Georgia",,,gmcbulldogs.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
Gordon State College Highlanders,NJCAA D1,"Barnesville, Georgia",,,gscathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
South Georgia Technical College Jets,NJCAA D1,"Americus, Georgia",,,southgatech.edu,FOUND_NOT_CONFIDENT,250,Fallback .edu with athletics path
Waycross College Swamp Foxes,NJCAA D1,"Waycross, Georgia",,,catamountsports.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
North Idaho College Cardinals,NJCAA D1,"Coeur d'Alene, Idaho",,,nicathletics.com,FOUND,380,.com with athletics/sports; 6 school/city/mascot tokens matched
College of Southern Idaho Eagles,NJCAA D1,"Twin Falls, Idaho",,,athletics.csi.edu,FOUND,280,.edu with athletics/sports; 6 school/city/mascot tokens matched
Frontier Community College Bobcats,NJCAA D1,"Fairfield, Illinois",,,fccbobcats.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
John A. Logan College Volunteers,NJCAA D1,"Carterville, Illinois",,,tritonathletics.com,FOUND,350,.com with athletics/sports; 5 school/city/mascot tokens matched
